"","Education","Marital_Status","Income","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Complain","Age","Kids","Tenure","AcceptedCamp","TotalSpent","km3.cluster"
"1",2,0,58138,635,88,546,172,88,88,3,8,10,4,7,0,65,0,124,0,1617,2
"2",2,0,46344,11,1,6,2,1,6,2,1,1,2,5,0,68,2,106,0,27,1
"3",2,1,71613,426,49,127,111,21,42,1,8,2,10,4,0,57,0,112,0,776,2
"4",2,1,26646,11,4,20,10,3,5,2,2,0,4,6,0,38,1,106,0,53,1
"5",3,1,58293,173,43,118,46,27,15,5,5,3,6,5,0,41,1,107,0,422,3
"6",2,1,62513,520,42,98,0,42,14,2,6,4,10,6,0,55,1,112,0,716,3
"7",2,0,55635,235,65,164,50,49,27,4,7,3,7,6,0,51,1,122,0,590,3
"8",3,1,33454,76,10,56,3,1,23,2,4,0,4,8,0,37,1,116,0,169,1
"9",3,1,30351,14,0,24,3,3,2,1,3,0,2,9,0,48,1,115,0,46,1
"10",3,1,5648,28,0,6,1,1,13,1,1,0,0,20,0,72,2,105,1,49,1
"11",2,1,29894.311772337,5,5,6,0,2,1,1,1,0,2,7,0,39,1,109,0,19,1
"12",1,1,7500,6,16,11,11,1,16,1,2,0,3,8,0,46,0,122,0,61,1
"13",2,0,63033,194,61,480,225,112,30,1,3,4,8,2,0,63,0,109,0,1102,2
"14",2,0,59354,233,2,53,3,5,14,3,6,1,5,6,0,70,2,109,0,310,3
"15",2,1,17323,3,14,17,6,1,5,1,1,0,3,8,0,35,0,123,0,46,1
"16",3,0,82800,1006,22,115,59,68,45,1,7,6,12,3,0,76,0,121,2,1315,2
"17",2,1,41850,53,5,19,2,13,4,3,3,0,3,8,0,42,2,120,0,96,1
"18",2,1,37760,84,5,38,150,12,28,2,4,1,6,7,0,76,0,124,0,317,3
"19",2,1,76995,1012,80,498,0,16,176,2,11,4,9,5,0,73,1,117,1,1782,2
"20",2,0,33812,4,17,19,30,24,39,2,2,1,3,6,0,37,1,122,0,133,1
"21",2,1,37040,86,2,73,69,38,48,1,4,2,5,8,0,40,0,125,0,316,1
"22",2,1,2447,1,1,1725,1,1,1,15,0,28,0,1,0,43,1,120,0,1730,3
"23",3,1,58607,867,0,86,0,0,19,3,2,3,9,8,0,73,1,120,1,972,3
"24",3,1,65324,384,0,102,21,32,5,3,6,2,9,4,0,68,1,108,0,544,3
"25",2,1,40689,270,3,27,39,6,99,7,7,1,5,8,0,71,1,117,0,444,3
"26",2,0,18589,6,4,25,15,12,13,2,2,1,3,7,0,53,0,120,0,75,1
"27",2,1,53359,173,4,30,3,6,41,4,5,1,4,7,0,46,2,115,0,257,1
"28",2,0,82847.1777138979,5,1,3,3,263,362,0,27,0,0,1,0,36,1,118,0,637,2
"29",2,1,38360,36,2,42,20,21,10,2,2,1,4,3,0,33,1,115,0,131,1
"30",3,1,84618,684,100,801,21,66,0,1,6,9,10,2,0,57,0,109,1,1672,2
"31",2,0,10979,8,4,10,2,2,4,2,3,0,3,5,0,33,0,103,0,30,1
"32",2,1,38620,112,17,44,34,22,89,1,2,5,3,3,0,59,0,116,0,318,1
"33",2,1,40548,110,0,5,2,0,3,2,2,1,4,5,0,52,1,123,1,120,1
"34",3,0,46610,96,12,96,33,22,43,6,4,1,6,6,0,70,2,122,0,302,3
"35",2,1,68657,482,34,471,119,68,22,1,3,5,9,7,0,76,0,118,0,1196,2
"36",2,0,49389,40,0,19,2,1,3,1,2,0,3,7,0,71,2,112,0,65,1
"37",3,1,67353,702,17,151,0,8,35,5,5,6,12,2,0,52,1,108,0,913,3
"38",2,1,23718,6,3,14,15,7,36,3,3,1,2,7,0,46,1,112,0,81,1
"39",2,0,42429,55,0,6,2,0,4,2,1,1,3,5,0,49,1,106,0,67,1
"40",3,0,48948,437,8,206,160,49,42,2,7,10,5,6,0,79,0,119,1,902,2
"41",2,1,80011,421,76,536,82,178,102,2,8,6,5,4,0,42,1,116,0,1395,2
"42",2,1,20559,13,1,29,3,0,7,2,2,0,3,8,0,37,1,118,0,53,1
"43",2,1,21994,9,0,6,3,1,3,1,0,0,3,5,0,65,1,120,0,22,1
"44",3,0,50835.0209576821,81,11,50,3,2,39,1,1,3,4,2,0,63,0,110,0,186,1
